Fichier;Titre_actuel;Auteur_actuel;Score;Confiance;Règles;Titre_corrigé;Auteur_corrigé
Monsieur Ibrahim et les fleurs du Coran - Eric-Emmanuel Schmitt.epub;Schmitt, Eric-Emmanuel;Monsieur Ibrahim et les fleurs du Coran;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Monsieur Ibrahim et les fleurs du Coran;Schmitt, Eric-Emmanuel
Sociologie des migrations - Mazzella Sylvie.epub;Sylvie, Mazzella;Sociologie des migrations;90;CERTAIN;R1: Format 'Nom, Prénom' dans titre | R2: Format 'Prénom, Nom' dans titre;Sociologie des migrations;Sylvie, Mazzella
Mon chat Yugoslavia - Pajtim Statovci.epub;Statovci, Pajtim;Mon chat Yugoslavia;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Mon chat Yugoslavia;Statovci, Pajtim
Combat et autres recits, Un - Patrick Süskind.epub;Süskind, Patrick;Combat et autres recits, Un;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Combat et autres recits, Un;Süskind, Patrick
Maître et Marguerite, Le - Mikhaïl Boulgakov.epub;Boulgakov, Mikhaïl;Maître et Marguerite, Le;100;CERTAIN;R1: Format 'Nom, Prénom' dans titre | R3: Auteur se termine par article défini;Maître et Marguerite, Le;Boulgakov, Mikhaïl
Businessman, Le - Thomas Disch.epub;Disch, Thomas;Businessman, Le;100;CERTAIN;R1: Format 'Nom, Prénom' dans titre | R3: Auteur se termine par article défini;Businessman, Le;Disch, Thomas
Itinéraire spiritueux - Gérard Oberlé.epub;Oberlé, Gérard;Itinéraire spiritueux;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Itinéraire spiritueux;Oberlé, Gérard
Salut Marie - Antoine Sénanque.epub;Sénanque, Antoine;Salut Marie;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Salut Marie;Sénanque, Antoine
Malet,Léo [Nouveaux mystères de Paris-06] M'as-tu vu en cadavre ! - Paris 10e (1956) french.zzz.epub;Malet,Léo;M'as-tu vu en cadavre ! - Paris 10e;100;CERTAIN;R5: Auteur contient des chiffres | R6: Ponctuation inhabituelle dans auteur | R9: Titre court et auteur long;M'as-tu vu en cadavre ! - Paris 10e;Malet,Léo
Apocalypse bébé - Virginie Despentes.epub;Despentes, Virginie;Apocalypse bébé;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Apocalypse bébé;Despentes, Virginie
Kabukicho - Dominique Sylvain.epub;Sylvain, Dominique;Kabukicho;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Kabukicho;Sylvain, Dominique
Pressentiment, Le - Emmanuel Bove.epub;Bove, Emmanuel;Pressentiment, Le;100;CERTAIN;R1: Format 'Nom, Prénom' dans titre | R3: Auteur se termine par article défini;Pressentiment, Le;Bove, Emmanuel
Dumas,Alexandre {père} [] Récits fantastiques 1.epub;Dumas,Alexandre;Récits fantastiques 1;65;PROBABLE;R5: Auteur contient des chiffres | R10: Mots-clés de titres dans auteur;Récits fantastiques 1;Dumas,Alexandre
Quête du Graal tome 5, La - Jean Markale.epub;Markale, Jean;Quête du Graal tome 5, La;160;CERTAIN;R1: Format 'Nom, Prénom' dans titre | R3: Auteur se termine par article défini | R5: Auteur contient des chiffres | R9: Titre court et auteur long;Quête du Graal tome 5, La;Markale, Jean
Voltaire_ Oeuvres complètes - Voltaire.epub;Voltaire;Voltaire_ Oeuvres complètes;70;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R10: Mots-clés de titres dans auteur;Voltaire_ Oeuvres complètes;Voltaire
Par-delà la pluie - Victor Del Arbol.epub;Arbol, Victor Del;Par-delà la pluie;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Par-delà la pluie;Arbol, Victor Del
Hotel Bristol - Michel Tremblay.epub;Tremblay, Michel;Hotel Bristol;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Hotel Bristol;Tremblay, Michel
Livre de Blaise, Le - Philippe Monnier.epub;Monnier, Philippe;Livre de Blaise, Le;130;CERTAIN;R1: Format 'Nom, Prénom' dans titre | R3: Auteur se termine par article défini | R10: Mots-clés de titres dans auteur;Livre de Blaise, Le;Monnier, Philippe
Bellemare,Pierre [Crimes de sang-1] Merci, Ruth !... 40 histoires (.) french.zzz.epub;Merci, Ruth !... 40 histoires (.);Bellemare,Pierre;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Bellemare,Pierre;Merci, Ruth !... 40 histoires (.)
Article 353 du code pénal - Tanguy Viel.epub;Viel, Tanguy;Article 353 du code pénal;110;CERTAIN;R1: Format 'Nom, Prénom' dans titre | R5: Auteur contient des chiffres | R9: Titre court et auteur long;Article 353 du code pénal;Viel, Tanguy
Zone de non-droit - Alex Berg.epub;Berg, Alex;Zone de non-droit;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Zone de non-droit;Berg, Alex
Peste, La - Albert Camus.epub;Camus, Albert;Peste, La;100;CERTAIN;R1: Format 'Nom, Prénom' dans titre | R3: Auteur se termine par article défini;Peste, La;Camus, Albert
Simon le pathétique - Jean Giraudoux.epub;Giraudoux, Jean;Simon le pathétique;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Simon le pathétique;Giraudoux, Jean
Sale boulot - Larry Brown.epub;Brown, Larry;Sale boulot;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Sale boulot;Brown, Larry
Sud Lointain_ Le Courrier de Saigon - Erwan Bergot.epub;Bergot, Erwan;Sud Lointain_ Le Courrier de Saigon;115;CERTAIN;R1: Format 'Nom, Prénom' dans titre | R6: Ponctuation inhabituelle dans auteur | R9: Titre court et auteur long;Sud Lointain_ Le Courrier de Saigon;Bergot, Erwan
Chaos (French Edition) - Luca Tahtieazym.epub;Tahtieazym, Luca;Chaos (French Edition);80;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R10: Mots-clés de titres dans auteur;Chaos (French Edition);Tahtieazym, Luca
Déserteur - Bergmann Boris.epub;Boris, Bergmann;Déserteur;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Déserteur;Boris, Bergmann
Cure fatale - Robin Cook.epub;Cook, Robin;Cure fatale;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Cure fatale;Cook, Robin
Cantique de la racaille Opus 2 - Vincent Ravalec.epub;Ravalec, Vincent;Cantique de la racaille Opus 2;110;CERTAIN;R1: Format 'Nom, Prénom' dans titre | R5: Auteur contient des chiffres | R9: Titre court et auteur long;Cantique de la racaille Opus 2;Ravalec, Vincent
Madame de Chamblay 1ère partie - Alexandre Dumas.epub;Alexandre Dumas;Madame de Chamblay 1ère partie;90;CERTAIN;R5: Auteur contient des chiffres | R7: Titre ressemble à un nom complet | R9: Titre court et auteur long;Madame de Chamblay 1ère partie;Alexandre Dumas
Fantômes et farfafouilles - Fredric Brown.epub;Brown, Fredric;Fantômes et farfafouilles;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Fantômes et farfafouilles;Brown, Fredric
Tropical Animal - Pedro Juan Gutierrez.epub;Gutierrez, Pedro Juan;Tropical Animal;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Tropical Animal;Gutierrez, Pedro Juan
Adieu Cayenne - Albert Londres.epub;Londres, Albert;Adieu Cayenne;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Adieu Cayenne;Londres, Albert
Shepard,Zoé [] Absolument dé-bor-dée ! ou le paradoxe du fonctionnaire (2010) french.Alex.epub;Shepard,Zoé;Absolument dé-bor-dée ! ou le paradoxe du fonctionnaire;65;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R9: Titre court et auteur long;Absolument dé-bor-dée ! ou le paradoxe du fonctionnaire;Shepard,Zoé
Prohartchine - Fyodor Mikhailovich Dostoyevsky.epub;Dostoyevsky, Fyodor Mikhailovich;Prohartchine;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Prohartchine;Dostoyevsky, Fyodor Mikhailovich
Junky - William S. Burroughs.epub;Burroughs, William S.;Junky;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Junky;Burroughs, William S.
Greenwood,Ed [Elminster-1] Elminster, la jeunesse d'un mage (1994) Fantasy .Z.epub;Elminster, T1 : La Jeunesse d'un mage;Greenwood, Ed;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Greenwood, Ed;Elminster, T1 : La Jeunesse d'un mage
Celui qui ne dormait pas - Alessio Viola.epub;Viola, Alessio;Celui qui ne dormait pas;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Celui qui ne dormait pas;Viola, Alessio
Farenheit 451 - Ray Bradbury & Cid Knipel.epub;Ray Bradbury & Cid Knipel;Farenheit 451;80;PROBABLE;R5: Auteur contient des chiffres | R8: Titre contient '&' entre noms;Farenheit 451;Ray Bradbury & Cid Knipel
Killbox - Ann Aguirre.epub;Aguirre, Ann;Killbox;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Killbox;Aguirre, Ann
Corysandre (French) - Hector Malot.epub;Malot, Hector;Corysandre (French);80;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R10: Mots-clés de titres dans auteur;Corysandre (French);Malot, Hector
Aveu de faiblesses - Frédéric Viguier.epub;Viguier, Frédéric;Aveu de faiblesses;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Aveu de faiblesses;Viguier, Frédéric
Enfant, L' - Jules Vallès.epub;Enfant, L';Vallès, Jules;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Vallès, Jules;Enfant, L'
Hommage à la Catalogne (1936-1937) - George Orwell.epub;Orwell, George;Hommage à la Catalogne (1936-1937);110;CERTAIN;R1: Format 'Nom, Prénom' dans titre | R5: Auteur contient des chiffres | R9: Titre court et auteur long;Hommage à la Catalogne (1936-1937);Orwell, George
légende des quatre soldats (Tome 2) - Séduire un séducteur, La - Elizabeth Hoyt.epub;Elizabeth Hoyt;Séduire un séducteur, La;50;PROBABLE;R3: Auteur se termine par article défini;Séduire un séducteur, La;Elizabeth Hoyt
Sherlock Holmes - Arthur Conan Doyle.epub;Doyle, Arthur Conan;Sherlock Holmes;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Sherlock Holmes;Doyle, Arthur Conan
Drame Au Labrador, Un - Vinceslas-Eugène Dick.epub;Dick, Vinceslas-Eugène;Drame Au Labrador, Un;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Drame Au Labrador, Un;Dick, Vinceslas-Eugène
Sanson, Henri (1799-1889). Mémoires de 7générations d'exécuteurs, 1688-1847 - T.3 [1862]_Affaire du Collier, Guillotine, Mort de Louis XVI..._485p..epub;T.3 [1862]_Affaire du Collier, Guillotine, Mort de Louis XVI..._485p.;Sanson, Henri (1799-1889). Mémoires de 7générations d'exécuteurs, 1688-1847;65;PROBABLE;R5: Auteur contient des chiffres | R10: Mots-clés de titres dans auteur;Sanson, Henri (1799-1889). Mémoires de 7générations d'exécuteurs, 1688-1847;T.3 [1862]_Affaire du Collier, Guillotine, Mort de Louis XVI..._485p.
Barker,Clive [Livre de sang-03] Confessions d'un linceul... - 5 nouvelles (.) Fantastique,Epouvante .Z.epub;Barker,Clive;Confessions d'un linceul... - 5 nouvelles (.) Fantastique,Epouvante .Z;60;PROBABLE;R5: Auteur contient des chiffres | R9: Titre court et auteur long;Confessions d'un linceul... - 5 nouvelles (.) Fantastique,Epouvante .Z;Barker,Clive
Mãn - Kim Thúy.epub;Thúy, Kim;Mãn;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Mãn;Thúy, Kim
Timebox - Boris Koslowski.epub;Koslowski, Boris;Timebox;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Timebox;Koslowski, Boris
Provocation et autres récits, La - Ismail Kadaré.epub;Kadaré, Ismail;Provocation et autres récits, La;125;CERTAIN;R1: Format 'Nom, Prénom' dans titre | R3: Auteur se termine par article défini | R9: Titre court et auteur long;Provocation et autres récits, La;Kadaré, Ismail
Messieurs Golovleff, Les - Saltykov-Chtchedrine.epub;Saltykov-Chtchedrine;Messieurs Golovleff, Les;50;PROBABLE;R3: Auteur se termine par article défini;Messieurs Golovleff, Les;Saltykov-Chtchedrine
Jeunesse de Pierrot, La - Alexandre Dumas.epub;Alexandre Dumas;Jeunesse de Pierrot, La;80;PROBABLE;R3: Auteur se termine par article défini | R7: Titre ressemble à un nom complet;Jeunesse de Pierrot, La;Alexandre Dumas
Sympathisant, Le - Nguyen, Viet Thanh.epub;Sympathisant, Le;Nguyen, Viet Thanh;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Nguyen, Viet Thanh;Sympathisant, Le
Bacille, Le - Arnould Galopin.epub;Galopin, Arnould;Bacille, Le;100;CERTAIN;R1: Format 'Nom, Prénom' dans titre | R3: Auteur se termine par article défini;Bacille, Le;Galopin, Arnould
Premier regard - Nicholas Sparks.epub;Sparks, Nicholas;Premier regard;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Premier regard;Sparks, Nicholas
Abdallah le cruel - Patrick Girard.epub;Girard, Patrick;Abdallah le cruel;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Abdallah le cruel;Girard, Patrick
Désintégration - Emmanuelle Richard.epub;Richard, Emmanuelle;Désintégration;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Désintégration;Richard, Emmanuelle
Élargissement du poème, L' - Jean-Christophe Bailly.epub;Bailly, Jean-Christophe;Élargissement du poème, L';100;CERTAIN;R1: Format 'Nom, Prénom' dans titre | R3: Auteur se termine par article défini;Élargissement du poème, L';Bailly, Jean-Christophe
Pour Un Oui Ou Pour Un Non - Nathalie Sarraute.epub;Sarraute, Nathalie;Pour Un Oui Ou Pour Un Non;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Pour Un Oui Ou Pour Un Non;Sarraute, Nathalie
Wasurenagusa - Aki Shimazaki.epub;Shimazaki, Aki;Wasurenagusa;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Wasurenagusa;Shimazaki, Aki
Jeremiah Johnson, le mangeur de foie - Thorp, Raymond W. & Bunker, Robert.epub;Thorp, Raymond W. & Bunker, Robert;Jeremiah Johnson, le mangeur de foie;95;CERTAIN;R1: Format 'Nom, Prénom' dans titre | R8: Titre contient '&' entre noms;Jeremiah Johnson, le mangeur de foie;Thorp, Raymond W. & Bunker, Robert
Ami commun - Tome I, L' - Charles Dickens.epub;Dickens, Charles;Tome I, L';130;CERTAIN;R1: Format 'Nom, Prénom' dans titre | R3: Auteur se termine par article défini | R10: Mots-clés de titres dans auteur;Tome I, L';Dickens, Charles
Au bonheur des dames - Émile Zola.epub;Zola, Émile;Au bonheur des dames;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Au bonheur des dames;Zola, Émile
Passeur, Le - Lois Lowry.epub;Lowry, Lois;Passeur, Le;100;CERTAIN;R1: Format 'Nom, Prénom' dans titre | R3: Auteur se termine par article défini;Passeur, Le;Lowry, Lois
Forteresse digitale - Dan Brown.epub;Brown, Dan;Forteresse digitale;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Forteresse digitale;Brown, Dan
Mohicans de Paris - Volume IV, Les - Alexandre Dumas.epub;Alexandre Dumas;Volume IV, Les;110;CERTAIN;R3: Auteur se termine par article défini | R7: Titre ressemble à un nom complet | R10: Mots-clés de titres dans auteur;Volume IV, Les;Alexandre Dumas
Trêve, La - Primo Levi.epub;Levi, Primo;Trêve, La;100;CERTAIN;R1: Format 'Nom, Prénom' dans titre | R3: Auteur se termine par article défini;Trêve, La;Levi, Primo
Lettre d'un citoyen zélé_ Sur les troubles qui didecine et la chirurgie - Denis Diderot & Ligaran,.epub;Denis Diderot & Ligaran,;Lettre d'un citoyen zélé_ Sur les troubles qui didecine et la chirurgie;85;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R8: Titre contient '&' entre noms;Lettre d'un citoyen zélé_ Sur les troubles qui didecine et la chirurgie;Denis Diderot & Ligaran,
Alsace-Lorraine pendant la gu, L' - Rigoulot Pierre.epub;Pierre, Rigoulot;Alsace-Lorraine pendant la gu, L';165;CERTAIN;R1: Format 'Nom, Prénom' dans titre | R2: Format 'Prénom, Nom' dans titre | R3: Auteur se termine par article défini | R9: Titre court et auteur long;Alsace-Lorraine pendant la gu, L';Pierre, Rigoulot
Affaire Lerouge, L' - Émile Gaboriau.epub;Gaboriau, Émile;Affaire Lerouge, L';100;CERTAIN;R1: Format 'Nom, Prénom' dans titre | R3: Auteur se termine par article défini;Affaire Lerouge, L';Gaboriau, Émile
Jazz Palace - Mary Morris.epub;Morris, Mary;Jazz Palace;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Jazz Palace;Morris, Mary
Anges meurent de nos blessures, Les - Yasmina Khadra.epub;Khadra, Yasmina;Anges meurent de nos blessures, Les;125;CERTAIN;R1: Format 'Nom, Prénom' dans titre | R3: Auteur se termine par article défini | R9: Titre court et auteur long;Anges meurent de nos blessures, Les;Khadra, Yasmina
Guerre et la Paix - Tome III, La - Tolstoï.epub;Tolstoï;Tome III, La;80;PROBABLE;R3: Auteur se termine par article défini | R10: Mots-clés de titres dans auteur;Tome III, La;Tolstoï
Chutes, Les - Oates, Joyce Carol.epub;Chutes, Les;Oates, Joyce Carol;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Oates, Joyce Carol;Chutes, Les
Carnets du sous-sol (Actes Sud), Le - Fédor Dostoïevski.epub;Dostoïevski, Fédor;Carnets du sous-sol (Actes Sud), Le;125;CERTAIN;R1: Format 'Nom, Prénom' dans titre | R3: Auteur se termine par article défini | R9: Titre court et auteur long;Carnets du sous-sol (Actes Sud), Le;Dostoïevski, Fédor
Attali,Jacques [Verbatim-3] Chronique des années 1988-1991 (1995) french.zzz.epub;Attali,Jacques;Chronique des années 1988-1991;65;PROBABLE;R5: Auteur contient des chiffres | R10: Mots-clés de titres dans auteur;Chronique des années 1988-1991;Attali,Jacques
Ton père - Christophe Honoré.epub;Honoré, Christophe;Ton père;90;CERTAIN;R1: Format 'Nom, Prénom' dans titre | R2: Format 'Prénom, Nom' dans titre;Ton père;Honoré, Christophe
Sagesse – Savoir vivre au pied d’un volcan - Michel Onfray.epub;Onfray, Michel;Sagesse – Savoir vivre au pied d’un volcan;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Sagesse – Savoir vivre au pied d’un volcan;Onfray, Michel
Enjeu, L' - Angela Behelle.epub;Behelle, Angela;Enjeu, L';100;CERTAIN;R1: Format 'Nom, Prénom' dans titre | R3: Auteur se termine par article défini;Enjeu, L';Behelle, Angela
Mystérieux Docteur Cornélius - Tome I, Le - Gustave Le Rouge.epub;Le Rouge, Gustave;Tome I, Le;80;PROBABLE;R3: Auteur se termine par article défini | R10: Mots-clés de titres dans auteur;Tome I, Le;Le Rouge, Gustave
Volte-face - Michael Connelly.epub;Connelly, Michael;Volte-face;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Volte-face;Connelly, Michael
Bon rétablissement - Marie-Sabine Roger.epub;Roger, Marie-Sabine;Bon rétablissement;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Bon rétablissement;Roger, Marie-Sabine
Promenades et intérieurs - François Coppée.epub;Coppée, François;Promenades et intérieurs;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Promenades et intérieurs;Coppée, François
Dumas,Alexandre {père} [-065] Joseph Balsamo - Tome 4 (1846) french.feed.epub;Dumas,Alexandre;Joseph Balsamo - Tome 4;90;CERTAIN;R5: Auteur contient des chiffres | R9: Titre court et auteur long | R10: Mots-clés de titres dans auteur;Joseph Balsamo - Tome 4;Dumas,Alexandre
Valeur de x, La - Poppy Z.Brite.epub;Z.Brite, Poppy;Valeur de x, La;50;PROBABLE;R3: Auteur se termine par article défini;Valeur de x, La;Z.Brite, Poppy
